Cell_Number, Life_Time, Total_Traveled_Distance, Net_Traveled_Distance, Mean_MSD
1, 450.000000, 34.144609, 3.149407, 10.640923
2, 450.000000, 46.386211, 26.106906, 219.331075
3, 450.000000, 36.209810, 27.001440, 310.576228
4, 450.000000, 63.204715, 8.228057, 22.907367
5, 450.000000, 33.232633, 3.979975, 21.261439
6, 450.000000, 51.430040, 4.511733, 28.147690
7, 450.000000, 23.776641, 6.604028, 30.065832
8, 450.000000, 38.333035, 16.439662, 126.754955
9, 450.000000, 51.630508, 10.494722, 167.161476
10, 450.000000, 25.937238, 5.678793, 13.189569
11, 450.000000, 24.047635, 1.899823, 4.524674
12, 450.000000, 51.597075, 10.270210, 109.468568
13, 450.000000, 34.317473, 7.181422, 15.019468
14, 450.000000, 21.741956, 7.158398, 39.520005
15, 450.000000, 29.368363, 15.931946, 106.275918
16, 450.000000, 49.651649, 23.933929, 280.863952
17, 450.000000, 13.028775, 2.165024, 1.438686
18, 450.000000, 34.445107, 7.551549, 48.724714
19, 450.000000, 32.598546, 3.675302, 24.591677
20, 450.000000, 26.506739, 15.533666, 85.834804
21, 450.000000, 141.416051, 52.202838, 1216.439531
22, 450.000000, 18.574666, 1.417781, 2.131943
23, 450.000000, 37.166416, 14.535051, 176.213025
24, 345.000000, 28.057059, 2.060701, 30.607695
25, 270.000000, 23.760129, 8.484563, 35.343947
26, 210.000000, 11.912602, 3.996996, 9.912250
27, 90.000000, 10.484074, 5.388877, 19.485436
28, 45.000000, 3.929350, 1.023876, 2.497799
29, 30.000000, 10.903533, 10.903533, 118.887025
30, 30.000000, 13.053079, 13.053079, 170.382878
31, 30.000000, 1.750560, 1.750560, 3.064462
32, 240.000000, 47.952736, 28.509909, 591.631407
33, 90.000000, 30.908236, 26.064039, 337.158209
34, 105.000000, 14.482923, 13.528500, 68.304824
35, 30.000000, 0.402005, 0.402005, 0.161608
36, 240.000000, 21.857066, 11.507037, 57.528194
37, 360.000000, 25.481093, 10.329925, 48.606528
38, 30.000000, 14.026403, 14.026403, 196.739990
39, 15.000000, 0.000000, 0.000000, NaN
40, 15.000000, 0.000000, 0.000000, NaN
41, 15.000000, 0.000000, 0.000000, NaN
42, 375.000000, 31.459214, 3.463158, 13.632095
43, 105.000000, 15.657720, 5.301856, 20.242468
44, 30.000000, 1.945202, 1.945202, 3.783810
45, 15.000000, 0.000000, 0.000000, NaN
46, 15.000000, 0.000000, 0.000000, NaN
47, 45.000000, 9.562976, 7.395836, 39.011035
48, 60.000000, 8.255758, 5.998722, 22.934436
49, 90.000000, 29.775485, 28.251569, 508.230842
50, 375.000000, 36.785288, 7.926913, 31.731951
51, 30.000000, 7.147467, 7.147467, 51.086287
52, 15.000000, 0.000000, 0.000000, NaN
53, 195.000000, 16.740374, 7.698051, 23.820513
54, 60.000000, 8.604869, 6.998804, 28.505292
55, 30.000000, 4.327277, 4.327277, 18.725323
56, 15.000000, 0.000000, 0.000000, NaN
57, 15.000000, 0.000000, 0.000000, NaN
58, 15.000000, 0.000000, 0.000000, NaN
59, 330.000000, 36.836540, 13.601871, 53.486163
60, 30.000000, 10.883356, 10.883356, 118.447439
61, 60.000000, 9.810823, 3.699897, 15.886127
62, 30.000000, 0.909050, 0.909050, 0.826372
63, 75.000000, 15.382281, 9.857201, 79.947209
64, 15.000000, 0.000000, 0.000000, NaN
65, 45.000000, 7.294299, 5.432373, 24.613451
66, 30.000000, 27.547757, 27.547757, 758.878918
67, 60.000000, 8.289345, 7.098045, 26.376175
68, 30.000000, 3.449495, 3.449495, 11.899013
69, 30.000000, 4.486181, 4.486181, 20.125824
70, 15.000000, 0.000000, 0.000000, NaN
71, 30.000000, 10.100692, 10.100692, 102.023980
72, 285.000000, 54.601752, 22.674483, 322.860370
73, 270.000000, 49.395099, 35.051624, 388.238398
74, 30.000000, 5.696512, 5.696512, 32.450250
75, 60.000000, 16.217437, 11.941728, 93.407264
76, 270.000000, 24.576789, 2.021455, 11.713154
77, 30.000000, 2.913678, 2.913678, 8.489517
78, 15.000000, 0.000000, 0.000000, NaN
79, 15.000000, 0.000000, 0.000000, NaN
80, 45.000000, 30.278738, 30.241212, 684.539904
81, 45.000000, 12.513391, 12.332676, 104.367255
82, 45.000000, 8.016338, 5.911618, 28.830418
83, 75.000000, 7.871572, 6.397609, 21.059477
84, 45.000000, 7.346674, 6.006410, 25.517429
85, 15.000000, 0.000000, 0.000000, NaN
86, 15.000000, 0.000000, 0.000000, NaN
87, 75.000000, 42.669796, 22.317251, 449.407566
88, 30.000000, 27.379250, 27.379250, 749.623334
89, 105.000000, 12.720805, 1.968491, 9.125914
90, 210.000000, 46.341163, 41.125509, 432.392243
91, 210.000000, 39.695736, 28.390594, 494.388033
92, 30.000000, 0.662948, 0.662948, 0.439500
93, 30.000000, 1.012541, 1.012541, 1.025240
94, 15.000000, 0.000000, 0.000000, NaN
95, 30.000000, 2.629980, 2.629980, 6.916797
96, 45.000000, 22.617610, 20.338955, 322.490140
97, 15.000000, 0.000000, 0.000000, NaN
98, 15.000000, 0.000000, 0.000000, NaN
99, 15.000000, 0.000000, 0.000000, NaN
100, 165.000000, 90.222273, 12.068660, 169.194930
101, 150.000000, 11.493862, 3.992105, 13.150996
102, 150.000000, 29.372367, 2.148135, 33.079792
103, 90.000000, 62.102888, 7.458578, 255.334586
104, 75.000000, 3.786788, 2.406393, 2.905252
105, 15.000000, 0.000000, 0.000000, NaN
106, 15.000000, 0.000000, 0.000000, NaN
107, 75.000000, 8.134104, 6.188560, 18.641579
108, 135.000000, 101.908816, 42.713578, 1524.441599
109, 75.000000, 39.698625, 6.562537, 108.546460
110, 60.000000, 33.980174, 31.230916, 503.289508
111, 60.000000, 26.037911, 24.979207, 325.912673
112, 30.000000, 8.171873, 8.171873, 66.779512
113, 30.000000, 4.540710, 4.540710, 20.618047
114, 45.000000, 25.071916, 23.306003, 388.778257
115, 15.000000, 0.000000, 0.000000, NaN
116, 60.000000, 15.520731, 14.445541, 125.745533
117, 45.000000, 2.436693, 1.372788, 1.913115
118, 30.000000, 5.644785, 5.644785, 31.863602
119, 15.000000, 0.000000, 0.000000, NaN
120, 15.000000, 0.000000, 0.000000, NaN
121, 15.000000, 0.000000, 0.000000, NaN
122, 30.000000, 39.261675, 39.261675, 1541.479110
123, 30.000000, 10.736939, 10.736939, 115.281863
124, 30.000000, 3.533053, 3.533053, 12.482461
125, 15.000000, 0.000000, 0.000000, NaN
126, 15.000000, 0.000000, 0.000000, NaN
127, 90.000000, 5.201698, 2.350887, 2.888473
128, 15.000000, 0.000000, 0.000000, NaN
129, 15.000000, 0.000000, 0.000000, NaN
130, 30.000000, 0.902599, 0.902599, 0.814685
131, 75.000000, 6.738895, 3.740232, 10.172848
132, 75.000000, 9.232050, 7.828614, 36.947346
133, 75.000000, 15.755479, 4.647277, 37.673425
134, 75.000000, 13.633527, 2.398118, 15.886303
135, 60.000000, 5.743781, 5.592725, 18.019730
136, 60.000000, 6.090324, 2.492489, 6.307016
137, 45.000000, 12.010221, 5.900641, 37.939817
138, 30.000000, 2.217627, 2.217627, 4.917870
139, 30.000000, 17.051177, 17.051177, 290.742637
140, 30.000000, 9.666851, 9.666851, 93.448013
141, 15.000000, 0.000000, 0.000000, NaN
142, 15.000000, 0.000000, 0.000000, NaN
143, 15.000000, 0.000000, 0.000000, NaN
